Designator,Mid X,Mid Y,Layer,Rotation
D1,115.675002mm,23.125005mm,Top,270.0
D2,79.175002mm,68.875005mm,Top,180.0
J2,55.425002mm,60.725005mm,Top,0.0
J3,57.320002mm,70.055005mm,Top,270.0
Q1,112.425002mm,23.125005mm,Top,90.0
Q2,79.425002mm,72.625005mm,Top,90.0
Q3,104.925002mm,23.125005mm,Top,90.0
Q4,35.950002mm,37.650005mm,Top,90.0
Q5,43.950002mm,37.500005mm,Top,90.0
Q6,51.925002mm,37.500005mm,Top,90.0
Q7,60.450002mm,37.500005mm,Top,90.0
Q8,68.900002mm,37.500005mm,Top,90.0
Q9,76.925002mm,37.500005mm,Top,90.0
U5,108.630001mm,23.064805mm,Top,0.0
Z1,74.751002mm,9.451505mm,Top,0.0
R147,33.725007000000005mm,61.925006999999994mm,Bottom,180.0
R146,23.825007mm,92.575007mm,Bottom,0.0
R141,48.575007mm,90.025007mm,Bottom,90.0
U102,29.110607mm,82.740507mm,Bottom,180.0
R109,44.575007mm,60.525006999999995mm,Bottom,90.0
R108,43.350407000000004mm,95.364407mm,Bottom,270.0
Q103,43.463007000000005mm,60.898407mm,Top,270.0
Q102,41.429207000000005mm,60.853707mm,Bottom,180.0
Q101,44.570007000000004mm,98.875007mm,Bottom,180.0
Q100,45.630007000000006mm,95.525007mm,Bottom,0.0
L100,43.725007000000005mm,92.125007mm,Bottom,90.0
F100,35.575007mm,60.225007mm,Bottom,0.0
C120,29.225007mm,86.22500699999999mm,Bottom,0.0
C107,29.125007mm,84.921407mm,Bottom,180.0
C106,30.106707mm,80.627607mm,Bottom,0.0
U110,38.925007mm,93.22500699999999mm,Bottom,270.0
R145,41.825007mm,90.625007mm,Bottom,90.0
R144,40.825007mm,91.925007mm,Bottom,270.0
R143,24.056207mm,99.228207mm,Bottom,180.0
R107,41.825007mm,86.900007mm,Top,180.0
D108,44.175006999999994mm,91.750007mm,Top,0.0
C233,15.825007mm,65.724907mm,Bottom,180.0
U107,44.325007mm,88.22500699999999mm,Top,0.0
U106,47.325007mm,61.024907mm,Bottom,90.0
C134,44.125007mm,90.425007mm,Top,0.0
C126,46.925006999999994mm,62.924907mm,Bottom,180.0
VD103,29.450007mm,61.024907mm,Bottom,0.0
VD102,25.666707000000002mm,60.824906999999996mm,Bottom,0.0
VD101,21.883307000000002mm,60.824906999999996mm,Bottom,0.0
VD100,18.100006999999998mm,60.824906999999996mm,Bottom,0.0
U109,17.725006999999998mm,60.725007mm,Top,0.0
U108,21.625007mm,60.725007mm,Top,0.0
U103,30.750007mm,94.244907mm,Bottom,180.0
U100,37.825507mm,96.524907mm,Top,0.0
U285,18.925007mm,91.825007mm,Top,270.0
U280,18.925007mm,88.72500699999999mm,Top,90.0
U275,18.925007mm,98.125007mm,Top,270.0
U270,18.925007mm,95.025007mm,Top,90.0
U195,23.175007mm,89.325007mm,Top,0.0
U190,21.275007000000002mm,71.325007mm,Top,90.0
U185,23.175007mm,96.425007mm,Top,0.0
U180,21.275007000000002mm,77.125007mm,Top,90.0
U175,21.275007000000002mm,82.925007mm,Top,90.0
U170,21.275007000000002mm,65.52500699999999mm,Top,90.0
S101,38.925007mm,60.325007mm,Top,0.0
