Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
D1,115.675002mm,23.125005mm,Top,-90.0,115.675002mm,23.125005mm
D2,79.175002mm,68.875005mm,Top,180.0,79.175002mm,68.875005mm
J2,55.425002mm,60.725005mm,Top,0.0,55.425002mm,60.725005mm
J3,57.320002mm,70.055005mm,Top,-90.0,57.320002mm,70.055005mm
M1,10.125007mm,100.625007mm,Top,-90.0,10.125007mm,100.625007mm
M2,156.200003mm,25.750004mm,Top,90.0,156.200003mm,25.750004mm
M3,132.400054mm,96.973335mm,Top,0.0,132.400054mm,96.973335mm
M4,36.975018mm,45.654894mm,Top,90.0,36.975018mm,45.654894mm
Q1,112.425002mm,23.125005mm,Top,90.0,112.425002mm,23.125005mm
Q2,79.425002mm,72.625005mm,Top,90.0,79.425002mm,72.625005mm
Q3,104.925002mm,23.125005mm,Top,90.0,104.925002mm,23.125005mm
Q4,35.950002mm,37.650005mm,Top,90.0,35.950002mm,37.650005mm
Q5,43.950002mm,37.500005mm,Top,90.0,43.950002mm,37.500005mm
Q6,51.925002mm,37.500005mm,Top,90.0,51.925002mm,37.500005mm
Q7,60.450002mm,37.500005mm,Top,90.0,60.450002mm,37.500005mm
Q8,68.900002mm,37.500005mm,Top,90.0,68.900002mm,37.500005mm
Q9,76.925002mm,37.500005mm,Top,90.0,76.925002mm,37.500005mm
U5,108.630001mm,23.064805mm,Top,0.0,108.630001mm,23.064805mm
Z1,74.751002mm,9.451505mm,Top,0.0,74.751002mm,9.451505mm
